294.59	294.02	0.57
294.53	294.02	0.52
294.53	294.02	0.52
294.53	294.03	0.50
294.48	294.02	0.47
294.45	294.02	0.43
294.45	294.02	0.43
294.45	294.02	0.43
294.41	294.02	0.40
294.40	294.02	0.38
294.36	294.02	0.35
294.36	294.00	0.36
294.36	294.02	0.35
294.28	294.02	0.26
294.28	293.98	0.29
294.28	294.02	0.26
294.26	293.93	0.33
294.28	293.93	0.35
294.19	293.93	0.26
294.19	293.93	0.26
294.19	293.90	0.29
294.17	293.86	0.31
294.15	293.84	0.31
294.12	293.84	0.28
294.12	293.84	0.28
294.10	293.84	0.26
294.10	293.79	0.31
294.09	293.76	0.33
294.07	293.76	0.31
294.02	293.76	0.26
294.02	293.76	0.26
294.02	293.76	0.26
294.02	293.76	0.26
294.02	293.76	0.26
293.93	293.76	0.17
293.93	293.74	0.19
293.93	293.74	0.19
293.93	293.72	0.21
293.93	293.76	0.17
293.93	293.76	0.17
293.91	293.76	0.16
293.88	293.76	0.12
293.84	293.76	0.09
293.88	293.76	0.12
293.88	293.76	0.12
293.88	293.76	0.12
293.93	293.76	0.17
293.93	293.76	0.17
294.17	293.76	0.41
294.71	293.76	0.95
295.43	293.76	1.68
296.11	293.76	2.35
296.77	293.76	3.02
297.39	293.76	3.63
297.93	293.76	4.17
298.51	293.79	4.72
299.13	293.81	5.32
299.66	293.81	5.85
300.14	293.84	6.30
300.59	293.84	6.75
301.08	293.84	7.23
301.49	293.84	7.65
301.86	293.86	7.99
302.18	293.88	8.30
302.57	293.90	8.67
302.90	293.93	8.97
303.17	293.93	9.24
303.39	293.93	9.46
303.50	293.93	9.57
303.56	293.95	9.61
303.50	293.93	9.57
303.41	293.93	9.48
303.17	293.95	9.22
303.02	293.93	9.09
302.86	293.93	8.93
302.79	293.93	8.86
302.68	293.93	8.75
302.49	293.93	8.56
302.27	293.96	8.31
301.93	293.96	7.96
301.60	293.95	7.65
301.57	293.95	7.62
301.80	293.98	7.82
302.11	293.93	8.18
302.37	293.96	8.40
302.64	293.96	8.67
302.88	293.95	8.93
303.12	293.96	9.15
303.36	293.93	9.43
303.60	293.93	9.67
303.82	294.00	9.82
304.00	294.02	9.99
304.17	294.02	10.16
304.36	294.00	10.36
304.49	294.02	10.47
304.66	293.98	10.68
304.75	293.95	10.80
304.88	293.93	10.95
305.00	293.93	11.07
305.09	293.93	11.16
305.18	293.93	11.25
305.28	293.93	11.35
305.37	293.93	11.44
305.43	293.93	11.50
305.47	293.91	11.56
305.56	293.93	11.63
305.56	293.91	11.65
305.34	293.86	11.47
304.66	293.84	10.81
304.06	293.84	10.22
303.50	293.84	9.66
302.88	293.84	9.03
302.13	293.84	8.28
301.46	293.84	7.61
300.88	293.84	7.04
300.41	293.84	6.57
299.98	293.84	6.14
299.45	293.84	5.61
298.94	293.84	5.09
298.44	293.86	4.58
298.05	293.93	4.12
297.77	294.02	3.76
297.53	294.02	3.51
297.28	294.07	3.21
297.09	294.10	2.99
296.91	294.10	2.81
296.77	294.14	2.64
296.62	294.19	2.43
296.50	294.21	2.29
296.37	294.26	2.12
296.29	294.28	2.01
296.18	294.28	1.91
296.09	294.36	1.73
296.01	294.41	1.59
295.92	294.45	1.47
295.92	294.52	1.40
295.85	294.53	1.32
295.83	294.62	1.21
295.78	294.69	1.09
295.75	294.78	0.97
295.75	294.95	0.80
295.75	295.14	0.61
295.75	295.38	0.36
295.75	296.25	0.50
295.75	297.30	1.55
295.75	298.53	2.78
295.70	299.65	3.95
295.71	300.72	5.01
295.70	301.73	6.03
295.68	302.58	6.91
295.71	303.49	7.77
295.68	304.21	8.53
295.70	304.70	9.00
295.70	304.62	8.93
295.70	304.15	8.46
295.71	303.49	7.77
295.75	302.69	6.95
295.75	301.95	6.20
295.75	301.20	5.46
295.73	300.56	4.83
295.75	299.97	4.22
295.75	299.49	3.74
295.75	299.18	3.44
295.75	298.94	3.19
295.75	298.78	3.03
295.75	298.46	2.71
295.76	298.28	2.52
295.75	298.19	2.45
295.76	298.12	2.36
295.75	298.05	2.31
295.76	297.98	2.22
295.78	297.93	2.15
295.80	297.86	2.06
295.82	297.84	2.03
295.82	297.84	2.03
295.83	297.84	2.01
295.83	297.86	2.03
295.83	297.84	2.01
295.83	297.86	2.03
295.83	297.95	2.11
295.83	298.00	2.17
295.83	298.14	2.31
295.82	298.37	2.55
295.83	299.18	3.35
295.82	300.23	4.42
295.82	301.17	5.35
295.83	302.07	6.24
295.83	302.95	7.12
295.83	303.76	7.93
295.83	304.47	8.64
295.83	305.05	9.22
295.83	305.43	9.60
295.83	305.73	9.90
295.83	305.98	10.15
295.83	306.15	10.32
295.83	306.31	10.47
295.83	306.44	10.61
295.82	306.52	10.70
295.80	306.61	10.81
295.80	306.58	10.78
295.78	305.18	9.40
295.76	303.36	7.59
295.78	302.06	6.27
295.75	301.11	5.37
295.75	300.41	4.67
295.75	300.07	4.33
295.75	299.95	4.20
295.75	299.97	4.22
295.75	300.34	4.59
295.75	300.90	5.15
295.73	301.44	5.71
295.75	301.71	5.96
295.75	301.82	6.07
295.75	302.20	6.45
295.75	302.58	6.84
295.70	302.91	7.22
295.70	303.14	7.44
295.66	303.37	7.71
295.66	303.60	7.94
295.66	303.58	7.92
295.66	303.50	7.84
295.66	303.43	7.77
295.66	303.32	7.66
295.66	303.23	7.57
295.66	303.14	7.47
295.63	302.99	7.36
295.59	302.90	7.30
295.63	302.79	7.16
295.57	302.71	7.14
295.57	302.60	7.03
295.57	302.46	6.88
295.57	302.20	6.63
295.57	301.93	6.35
295.56	301.66	6.10
295.56	301.46	5.90
295.50	301.26	5.75
295.49	301.02	5.54
295.49	300.86	5.37
295.49	300.68	5.19
295.49	300.47	4.98
295.49	300.25	4.76
295.42	300.04	4.62
295.40	299.82	4.42
295.40	299.65	4.24
295.40	299.49	4.08
295.40	299.31	3.91
295.40	299.13	3.73
295.43	299.01	3.57
295.49	298.83	3.34
295.49	298.72	3.24
295.57	298.55	2.97
295.64	298.44	2.80
295.66	298.28	2.62
295.75	298.19	2.45
295.83	298.07	2.24
295.90	297.93	2.03
296.04	297.81	1.76
296.27	297.67	1.40
296.39	297.54	1.15
296.55	297.42	0.87
296.76	297.32	0.56
296.95	297.23	0.28
297.14	297.09	0.05
297.19	297.02	0.17
297.35	296.91	0.44
297.54	296.83	0.72
298.02	296.74	1.28
298.48	296.63	1.84
298.79	296.55	2.25
298.90	296.44	2.46
298.99	296.36	2.63
299.43	296.27	3.16
299.93	296.18	3.75
300.31	296.09	4.21
300.41	296.01	4.40
300.43	295.92	4.51
300.52	295.85	4.67
300.70	295.80	4.90
300.92	295.73	5.19
301.11	295.66	5.45
301.31	295.57	5.74
301.49	295.56	5.94
301.64	295.49	6.15
301.69	295.40	6.29
301.76	295.33	6.43
301.91	295.30	6.61
302.07	295.23	6.85
302.22	295.16	7.06
302.31	295.12	7.19
302.31	295.05	7.26
302.22	295.00	7.22
302.22	294.93	7.29
302.13	294.88	7.25
302.04	294.83	7.21
302.00	294.79	7.21
302.00	294.71	7.29
302.07	294.71	7.37
302.24	294.62	7.62
302.40	294.62	7.78
302.53	294.53	7.99
302.66	294.53	8.12
302.77	294.45	8.32
302.68	294.41	8.26
302.60	294.40	8.21
302.51	294.36	8.15
302.40	294.28	8.13
302.31	294.28	8.04
302.22	294.22	8.00
302.13	294.19	7.94
302.04	294.15	7.88
301.93	294.10	7.83
301.78	294.10	7.68
301.69	294.03	7.66
301.58	294.02	7.57
301.49	294.02	7.48
301.40	293.96	7.44
301.29	293.93	7.36
301.22	293.93	7.29
301.13	293.90	7.24
301.01	293.84	7.16
300.92	293.84	7.07
300.86	293.76	7.10
300.79	293.76	7.03
300.75	293.76	7.00
300.66	293.72	6.94
300.63	293.69	6.94
300.57	293.67	6.90
300.50	293.67	6.83
300.43	293.64	6.79
300.41	293.60	6.81
300.29	293.58	6.70
300.25	293.58	6.67
300.23	293.58	6.65
300.14	293.58	6.56
300.09	293.58	6.51
300.06	293.52	6.54
299.98	293.53	6.45
299.97	293.50	6.47
299.88	293.52	6.36
299.82	293.50	6.32
299.77	293.52	6.25
299.70	293.50	6.20
299.66	293.50	6.16
299.61	293.50	6.11
299.61	293.50	6.11
299.52	293.50	6.02
299.52	293.50	6.02
299.43	293.50	5.93
299.41	293.50	5.92
299.34	293.50	5.84
299.34	293.50	5.84
299.29	293.52	5.77
299.24	293.50	5.74
299.17	293.50	5.67
299.08	293.50	5.58
298.99	293.50	5.49
298.97	293.46	5.51
298.90	293.43	5.47
298.81	293.41	5.40
298.81	293.41	5.40
298.74	293.41	5.33
298.72	293.40	5.33
298.65	293.40	5.26
298.62	293.33	5.29
298.58	293.34	5.24
298.55	293.33	5.22
298.51	293.33	5.18
298.46	293.33	5.13
298.46	293.33	5.13
298.41	293.33	5.08
298.37	293.26	5.11
298.37	293.24	5.13
298.28	293.26	5.02
298.28	293.24	5.04
298.19	293.24	4.95
298.19	293.26	4.94
298.16	293.24	4.92
298.11	293.24	4.87
298.09	293.24	4.85
298.02	293.24	4.78
298.02	293.24	4.78
297.93	293.24	4.69
297.93	293.24	4.69
297.91	293.24	4.67
297.84	293.24	4.60
297.84	293.24	4.60
297.82	293.24	4.58
297.75	293.24	4.51
297.75	293.24	4.51
297.68	293.24	4.44
297.67	293.24	4.43
297.67	293.24	4.43
297.58	293.24	4.34
297.58	293.24	4.34
297.58	293.24	4.34
297.58	293.24	4.34
297.53	293.24	4.29
297.49	293.24	4.25
297.49	293.26	4.23
297.40	293.26	4.15
297.33	293.24	4.09
297.32	293.26	4.06
297.25	293.33	3.92
297.23	293.33	3.90
297.16	293.33	3.83
297.14	293.33	3.82
297.14	293.41	3.73
297.05	293.41	3.64
297.05	293.50	3.56
297.05	293.52	3.54
297.05	293.57	3.49
297.05	293.58	3.47
297.05	293.67	3.38
297.12	293.69	3.44
297.18	293.76	3.42
297.67	293.81	3.86
298.63	293.84	4.79
299.52	293.93	5.59
300.27	293.98	6.29
300.99	294.02	6.97
301.64	294.10	7.54
302.20	294.12	8.08
302.77	294.19	8.58
303.30	294.28	9.03
303.86	294.31	9.55
304.41	294.36	10.05
304.98	294.36	10.62
305.51	294.45	11.06
305.96	294.47	11.50
306.42	294.53	11.89
306.84	294.53	12.31
307.25	294.62	12.63
307.60	294.62	12.98
307.99	294.62	13.37
308.39	294.69	13.70
308.78	294.71	14.08
309.18	294.72	14.46
309.60	294.76	14.84
310.03	294.79	15.23
310.46	294.79	15.66
310.82	294.81	16.01
311.22	294.85	16.37
311.65	294.86	16.79
312.03	294.88	17.15
312.43	294.88	17.55
312.79	294.92	17.88
313.15	294.97	18.19
313.48	294.97	18.51
313.89	295.00	18.89
314.19	295.04	19.16
314.52	295.05	19.47
314.85	295.09	19.77
315.12	295.14	19.98
315.41	295.17	20.24
315.68	295.19	20.49
315.97	295.23	20.75
316.25	295.23	21.02
316.54	295.23	21.32
316.77	295.26	21.51
317.00	295.30	21.71
317.24	295.31	21.92
317.59	295.31	22.27
317.87	295.31	22.55
318.18	295.31	22.86
318.44	295.31	23.12
318.72	295.31	23.41
318.94	295.33	23.61
319.21	295.40	23.81
319.45	295.40	24.05
319.70	295.40	24.30
319.89	295.42	24.47
320.09	295.45	24.64
320.21	295.49	24.73
320.34	295.49	24.85
320.54	295.50	25.03
320.59	295.57	25.01
320.79	295.57	25.22
320.94	295.59	25.35
321.17	295.66	25.51
321.35	295.66	25.69
321.47	295.66	25.81
321.65	295.71	25.94
321.83	295.73	26.10
321.99	295.75	26.24
322.12	295.78	26.34
322.25	295.82	26.43
322.38	295.83	26.54
322.48	295.85	26.63
322.59	295.87	26.72
322.67	295.92	26.75
322.77	295.92	26.85
322.85	295.96	26.89
322.88	295.99	26.89
322.90	296.01	26.90
323.04	296.01	27.03
323.06	296.03	27.04
323.17	296.06	27.11
323.20	296.09	27.10
323.30	296.11	27.19
323.41	296.13	27.28
323.44	296.11	27.32
323.22	296.15	27.07
322.82	296.13	26.69
322.25	296.11	26.14
321.70	296.11	25.59
321.12	296.06	25.06
320.49	296.01	24.48
319.92	296.01	23.91
319.40	295.94	23.46
318.92	295.92	23.00
318.51	295.92	22.59
318.15	295.85	22.30
317.77	295.83	21.94
317.45	295.83	21.61
317.10	295.83	21.26
316.77	295.80	20.97
316.36	295.78	20.58
316.00	295.75	20.25
315.66	295.75	19.91
315.34	295.75	19.60
315.08	295.75	19.33
314.85	295.75	19.11
314.54	295.73	18.81
314.06	295.71	18.35
313.56	295.75	17.82
313.15	295.70	17.46
312.73	295.71	17.01
312.32	295.66	16.66
311.97	295.66	16.31
311.69	295.66	16.03
311.44	295.66	15.78
311.22	295.66	15.56
310.97	295.59	15.38
310.70	295.57	15.13
310.41	295.56	14.86
310.09	295.50	14.58
309.89	295.47	14.42
309.64	295.40	14.24
